RAZON SOCIAL;DIRECCIÓN;TELÉFONO;ABIERTO 24 HORAS;ENTIDAD QUE VIGILA
Eticos Serrano Gomez Ltda La Economia No 714;AK 9 103 96;2147509;2;Usaquén
Eticos Serrano Gomez Ltda La Economia No 715;CL 125 7 C 77;6205767;2;Usaquén
Eticos Serrano Gomez Ltda La Economia No 718;AK 9 104 A 20;6207278;2;Usaquén
Europharma City;KR 87 69 A 68;4381127;2;Engativá
Evedisa;KR 19C 26A 15 SUR;3616003;2;Rafael Uribe
Exifarma;CL 2 B 56 A 29;2609814;2;Sur
Exifarma Droguería;KR 73 B 3 16;4522952;2;Sur
éxito Ciudad Jardin;KR 13 16 48 SUR;2787006;2;Rafael Uribe
Extra Wer 2;CL 22 SUR 10 81;5611989;2;Rafael Uribe
Fabidrogas;KR 47 59 45 SUR;9117363;2;Vista Hermosa
Fagem Droguerías;KR 11 90 73;2187288;2;Chapinero
Famihogar SAS;AK 15 122 09 LC 1;6200800;2;Usaquén
Famili Farmacias;AK 7 115 60 LC D125;6122972;2;Usaquén
Familiar De La 18;KR 18C 67A 36 SUR;9138027;2;Vista Hermosa
Familiar Del Sur;KR 4B 51A 24 Sur;5994953;2;Usme
Famisalud De La 166;KR 7 166 12;6719167;2;Usaquén
Famisalud De Mao;KR 40 1 G 19;7209476;2;Sur
Famisalud RD;CL 70C SUR 17F 15;7925285;2;Vista Hermosa
Famisol Droguerías;CL 98 17 57;6105037;2;Chapinero
Fanny Express Droguería;CL 139 103 F 53 LOCAL 10;6827016;2;Suba
Farma Alkosto De Colombia;KR 77 A 64 B 22;5486716;1;Engativá
Farma Centro Droguería;AV CARACAS 23 95;6008039;2;Centro Oriente
Farma Colombia Droguería;CL 69 A 90 62 LC 1;4902941;2;Engativá
Farma Comunal Droguerías;CL 139 99B 23 LC 3;6855411;2;Suba
Farma Cristo Rey;KR 21 26 44 SUR;0;2;Rafael Uribe
Farma Descuentos;KR 50 128C 19;6266073;2;Suba
Farma Diana;CL 51 71A 18;5476501;2;Engativá
Farma Diaz;CL 50A SUR 10 02;2921960;2;Rafael Uribe
Farma Drogas GLS;TV 60 106A 05;2263481;2;Suba
Farma Droguerías Farmacenter No 6;CL 167 62 10;6740828;2;Suba
Farma éxito AR;CL 70C SUR 17A 49;7665354;2;Vista Hermosa
Farma éxito Norte;AK 91 130D 37;6924485;2;Suba
Farma Expres SG;KR 7A 35 11 SUR;3009153;2;San Cristóbal
Farma Express Oasis;CL 151 111A 87 CASA 169;6878685;2;Suba
Farma Express SA;KR 5 33 45;6040163;2;Centro Oriente
Farma Galerias Express;KR 28 A 53 A 66 LC 1;8132014;2;Chapinero
Farma Golden;KR 5A 30D 49 SUR;5784894;2;San Cristóbal
Farma Home No 1;KR 6 182 30;6691911;2;Usaquén
Farma Hospital Droguería;AK 19 152 A 10;6277040;2;Usaquén
Farma House SAS;CL 100 66 39;7495955;2;Chapinero
Farma Hoy;TV 113C 67B 09;4400948;2;Engativá
Farma Imperial;KR 20C 65 85 SUR;7186990;2;Vista Hermosa
Farma JEG;CL 93A BIS SUR 0 16 ESTE;7671667;2;Usme
Farma Joshua;KR 12B 26 35 SUR;;2;Rafael Uribe
Farma Metropolis;KR 68C 76A 43;6311499;2;Engativá
Farma Moderna;KR 8 G 165 03;5288074;2;Usaquén
Farma Nanchiss;KR 6 A 189 B 60;6777675;2;Usaquén
Farma Piel;TV 24 53 D 13;7038173;2;Chapinero
Farma Plus;CL 48X SUR 3B 16;0;2;Rafael Uribe
Farma Plus Economia;CL 59 SUR 22B 06;;2;Vista Hermosa
Farma Precios De La 94;CL 94 A 60 C 45;5341185;2;Chapinero
Farma Rapha Droguería;KR 109 A 82 69;7042791;2;Engativá
Farma Real Norte;CL 183 9 A 40;6777668;2;Usaquén
Farma Red Ltda;CL 64B SUR 36 20;7162229;2;Vista Hermosa
Farma Red Ltda;CL 63A SUR 71F 24;7776984;2;Vista Hermosa
Farma Salud;CL 49D SUR 3 22;0;2;Rafael Uribe
Farma Salud De La 80;CL 69A 80 04;4364294;2;Engativá
Farma Salud Plus;DG 50A SUR 28 79;5639119;2;Tunjuelito
Farma Salud Suba;AC 145 109 07;6899193;2;Suba
Farma Shaio;CL 103 70C 15;5330009;2;Suba
Farma Sos Droguerías;KR 56 159 81;5266880;2;Suba
Farma TES Droguería;CL 137B 101B 04;0;2;Suba
Farma Urgencias Del Country;CL 83 16 A 26 LC 1;4007651;2;Chapinero
Farma Vida Droguería;KR 42 69 49;3117084;2;Chapinero
Farmace·ticos Colón;KR 111D BIS 78 03 LC 100;4752850;2;Engativá
Farmacenter;KR 112A 78F 59;2284233;2;Engativá
Farmacenter;KR 69K 68 10;2505111;2;Engativá
Farmacenter;DG 71 B 98 12;4747943;2;Engativá
Farmacenter Country 82;CL 82 16 10;6105675;2;Chapinero
Farmacenter LR;TV 5A 48K 29 SUR;2056887;2;Rafael Uribe
Farmacenter Minimercado Droguería;KR 58 131B 06;6137676;2;Suba
Farmacenter Pharma Suba;KR 103B 152C 15;6843162;2;Suba
Farmacenter Uno;CL 17 SUR 32A 29;2035819;2;Rafael Uribe
Farmacentro La 12;KR 12 15 25 LC 113;3426611;2;Centro Oriente
Farmacéutica Y Populares;KR 84 75 BIS 57;4382238;2;Engativá
Farmachico Minimarket;KR 15 93 A 49;7521492;2;Chapinero
Farmacia Bella Piel;AK 15 124 30 LC 2169;2135522;2;Usaquén
Farmacia Bella Piel;CL 114 6 A 92 LC D209;6127572;2;Usaquén
Farmacia Caprecom;AC 116 9 22 LC 1;2943333;2;Usaquén
Farmacia Cayre;KR 12 98 38;6367644;2;Chapinero
Farmacia Cutanea Tienda De La Piel;AK 15 112 79 LC 116;2140943;2;Usaquén
Farmacia Del Norte 195 CC Puerto Norte;CL 195 21 35 LC 8;5260006;2;Usaquén
Farmacia Del Rio;DG 79 B BIS 56 37;6308801;2;Chapinero
Farmacia Dermatologica Niks Leip;KR 15 A 119 47 LC 1;2150267;2;Usaquén
Farmacia Dermatologica Ropim Ropinm SA;AK 15 119 38 LC 107;2155240;2;Usaquén
Farmacia Dermatopi;CL 140 7 A 28 INT 1 LC 1;6141314;2;Usaquén
Farmacia Dorado Norte;KR 49 129A 27;2588701;2;Suba
Farmacia Droguería All Care;KR 13 A 78 37;5310636;2;Chapinero
Farmacia Droguería San Jorge;CL 53 13 64;3478426;2;Chapinero
Farmacia El Alkimista;CL 53 6 12;2102401;2;Chapinero
Farmacia Emaus Hospital;CL 64 121 76;0;2;Engativá
Farmacia Especializada Alpharma;AK 45 103B 35;2187988;2;Suba
Farmacia éxito;KR 13 16 48 SUR;2787006;2;Rafael Uribe
Farmacia Hedalui;CL 113 SUR 7B 48 ESTE;7733572;2;Usme
Farmacia Homeopatica;KR 7 A 123 60;1235464;2;Usaquén
Farmacia Institucional SAS;KR 19 18 68 SUR;4672171;2;Rafael Uribe
Farmacia Institucional SAS;CL 105 A 14 92 OF 313;6378662;2;Usaquén
Farmacia La Española;DG 84 A 77 85;2515415;2;Engativá
Farmacia Magistral Ciencia Y Naturaleza;KR 20 63 A 53;2492501;2;Chapinero
Farmacia MC;CL 69 C 111 C 84;4310400;2;Engativá
Farmacia Megafamiliar;CL 41 SUR 52 A 49;2701481;2;Sur
Farmacia Moderna;CL 17 SUR 25 04;4767200;2;Rafael Uribe
Farmacia Santa Cruz Express;KR 82 24 30 LC 2 3;7020869;2;Fontibón
Farmacia Super Milenta;KR 63 17 09 SUR;2606793;2;Sur
Farmacia Villa Gladys;KR 112 64D 22;0;2;Engativá
Farmacia Yuly San A Mitad De Precio;CL 47A SUR 28 44;4936905;2;Rafael Uribe
Farmacity De Villas;KR 110 76D 52;2275104;2;Engativá
Farmacity JR;KR 103 D 83 82;2294775;2;Engativá
Farmacos Marimil;CL 64 I 70 D 20;4305730;2;Engativá
Farmacosto JMC;KR 18 C 121 26 LC 101;5206056;2;Usaquén
Farmacura Droguería;CL 50 SUR 35 04;2705662;2;Tunjuelito
Farmadan;KR 29 64C 04 SUR;7159811;2;Vista Hermosa
Farmadane;CL 88 110 C 22;6088254;2;Engativá
Farmadanna;CL 54 SUR 15 70 LC 1;2790112;2;Tunjuelito
Farmadisa No 3;AK 15 118 61 LC 1;6206164;2;Usaquén
Farmadrogas Candelaria;KR 41A 62 04 SUR;7183663;2;Vista Hermosa
Farmadrogas De La 27;KR 27B 71F 04 SUR;7910856;2;Vista Hermosa
Farmadrogas La Botica;KR 54 50A 38 SUR;7244042;2;Tunjuelito
Farmaestrella G L;KR 18A BIS 74 07 SUR;7908894;2;Vista Hermosa
Farmaestrella Gl;KR 72 62F 10 SUR;5900076;2;Vista Hermosa
Farmaeticos Drogeria;DG 4A 18C 40;3099362;2;Centro Oriente
Farmaexito;CL 69 96 93;2237598;2;Engativá
Farmakasika;CL 164 16 B 50 LC 10;6005563;2;Usaquén
Farmalili;DG 68 SUR 19A 02;7160963;2;Vista Hermosa
Farmalisto;CL 129A 56B 23;2205249;2;Suba
Farmalkosto Droguería Maranta;AK 45 187 10 LC 5;6700558;2;Usaquén
Farmamedic;CL 75 A 106 03;5489277;2;Engativá
Farmamix;KR 16 C 166 20;5265824;2;Usaquén
Farmaplus Express SAS;CL 147 A 48 94;6265130;2;Suba
Farmasalitre Plus No 1;AC 26 69C 03 LC 111;2105074;2;Fontibón
Farmasalud;KR 7 54 99;2499247;2;Chapinero
Farmasalud;AK 14 49 21;3402214;2;Chapinero
Farmasalud;KR 69 70 A 63;4817811;2;Engativá
Farmasalud Express;KR 69 70 A 47;4817811;2;Engativá
Farmasalud MG;CL 71G SUR 27B 32;7905845;2;Vista Hermosa
Farmasalud Unir;DG 77 121 01 MZ B CA 28;4803196;2;Engativá
Farmasanchez;DG 68 SUR 19A 02;7176274;2;Vista Hermosa
Farmasanitas;CL 49 13 33;2453800;2;Chapinero
Farmasanitas;TV 60 115 58 LC 103 TORRE A;7025607;2;Suba
Farmasanitas Calle 80;AC 80 69Q 50;6400197;2;Engativá
Farmasanitas Calle 91;KR 19 C 91 17;6160991;2;Chapinero
Farmasanitas Carrefour Calle 80;AC 80 69 Q 50;6400197;2;Engativá
Farmasanitas Cl 54;KR 13 54 84;5921322;2;Chapinero
Farmasanitas Cl 99;CL 99 12 24;5895457;2;Chapinero
Farmasanitas Cl 99;CL 99 13 A 15;6354189;2;Chapinero
Farmasanitas Floresta;KR 69B 99 43;4800441;2;Suba
Farmasanitas Grandes Superficies De Colombia SA;AK 9 110 50 LC SOTANO 1;2145512;2;Usaquén
Farmasanitas Ltda;KR 16 82 57;5300470;2;Chapinero
Farmasanitas Ltda;CL 93 A 13 72;6205127;2;Chapinero
Farmasanitas Ltda;KR 15 95 08;6918342;2;Chapinero
Farmasanitas Pepe Ganga Pepe Sierra;AC 116 18 B 43;6205127;2;Usaquén
Farmasanitas Premisalud;KR 24C 48 94 SUR LC 2 103 104;6466060;2;Tunjuelito
Farmasanitas SAS;AK 19 103 75;2570993;2;Usaquén
Farmasanitas SAS;CL 166 20 18;5111022;2;Usaquén
Farmasanitas Sas;KR 13 140 31;5268169;1;Usaquén
Farmasanitas SAS;CL 97 23 60 LC 5;6213423;2;Chapinero
Farmasanitas SAS Usaquen;KR 7 120 A 49;6466060;2;Usaquén
Farmasebas;KR 77 A 63 F 54;4384043;2;Engativá
Farmasur AP;CL 81 SUR 2C 03 ESTE;7670876;2;Usme
Farmatodo Cl 94;KR 15 94 72;7432100;2;Chapinero
Farmatodo Colombia;KR 11 82 71 LC1;6214524;2;Chapinero
Farmatodo Colombia SA;DG 22 B 59 60 LC1;7432100;2;Chapinero
Farmatodo Colombia SA;CL 100 11 69;7432100;2;Chapinero
Farmatodo Colombia SA;CL 18 SUR 20 03;7432100;2;Rafael Uribe
Farmatodo Colombia SA;CL 18 SUR 22 03;7432100;2;Rafael Uribe
Farmatodo Las Nieves;KR 7 21 43;7432100;2;Centro Oriente
Farmatodo SA;CL 73 11 12;7432100;2;Chapinero
Farmatodo XJ;KR 102A 130A 42;5368302;2;Suba
Farmavid JR;CL 67B SUR 63 04;7131570;2;Tunjuelito
Farmavisión;CL 63 C 69 H 05;3118429;2;Engativá
Farmawill No 2;DG 92D SUR 3C 26 ESTE;7643930;2;Usme
Farmaxxia Sas;CL 19 6 35;4674504;1;Centro Oriente
Farmayor Droguerías;CL 139 101B 04 LC 1;6810062;2;Suba
Farmayor Norte Droguerías;CL 147 9 09 LC 1;2740183;2;Usaquén
Farmedica Salud;CL 183 15 39;6799131;2;Usaquén
Fawikdrogas;CL 65 SUR 20 13;0;2;Vista Hermosa
Ferroldrogas Mac;DG 64 BIS SUR 19C 48;7164638;2;Vista Hermosa
Fisbaral SAS;KR 11 97 46;2574680;2;Chapinero
Fontifarma 1;CL 23D 111 38;4183076;2;Fontibón
Forsalud Drug Store;KR 18 116 24 LC 104;2145327;2;Usaquén
Fundacion Colombiana De Servicios Comunitarios;CL 1C BIS 19 30;4084211;2;Centro Oriente
Fundacion Liga Central Contra La Epilepsia;CL 35 17 48;3272360;2;Chapinero
Gacela;CL 89C SUR 4F 33 ESTE;7625832;2;Usme
Galeano;KR 37B 64 03 SUR;7152232;2;Vista Hermosa
Galicia No 1;TV 73B 60 16 SUR;7800198;2;Vista Hermosa
Gama Salud MR;KR 4 ESTE 95B 17 SUR;7731563;2;Usme
Gambelt Plus;CL 32 SUR 24 29;4852379;2;Rafael Uribe
Garmisch Pharmaceutica SA;CL 100 17 A 36 OF 903;6348395;2;Usaquén
General De Drogas;KR 90 70 B 52;2765494;2;Engativá
General De Drogas JRA;KR 90 70B 52;2765494;2;Engativá
Global Pharma;KR 12 BIS 26A 00 SUR;5409182;2;Rafael Uribe
Gloria Andrea 2013;TV 18 BIS 46 07 SUR;7596147;2;Rafael Uribe
Gm Farma Descuentos;KR 46 143 70;6266073;2;Suba
Gran Bretaña;KR 22 66 00;2556791;2;Chapinero
Gran Rebaja Yomasa;CL 81 SUR 4C 21 ESTE;4632627;2;Usme
Gran Suprema SBM;KR 81 76 A 01;5408454;2;Engativá
Grandes Superficies De Colombia S.A;AC 80 69Q 50;6400197;2;Engativá
Groguisalud MR;CL 31 SUR 19 32;2727306;2;Rafael Uribe
Grupo Lucena Avila SAS;CL 66 14 92;2558672;2;Chapinero
Has Drogas;KR 14 36 52 SUR;0;2;Rafael Uribe
Has Drogas;CL 75C SUR 34 05;7169478;2;Vista Hermosa
Heacth & Pharma Farmacia Drogueri;CL 53 50 09;8042725;2;Chapinero
Héctor Hernán Osorio Noreña;TV 94 84 51;2520858;2;Engativá
Hedalui;CL 113 SUR 7B 48 ESTE;7733572;2;Usme
Herval RC Saj;DG 54 SUR 18B 69;2794345;2;Tunjuelito
Hiper Droguería Santa Isabel;CL 1F 26 57;4070023;2;Centro Oriente
Hiperdescuentos Paula;KR 113A 22I 89 LC 2;4215248;2;Fontibón
Hiperdorogueria Comunal;DG 2 60 88 IN 2;4140659;2;Sur
Hiperdrogas De La 56;KR 56 2 07;4141902;2;Sur
Hiperdrogas Mariño;DG 68 SUR 44D 18;7156853;2;Vista Hermosa
Hiperdrogeria Moderna;CL 17 SUR 11B 41;3727935;2;Rafael Uribe
HiperDroguería AC;KR 5 48 Y 09 SUR;5676343;2;Rafael Uribe
HiperDroguería Angel;CL 75 15 42;7552048;2;Chapinero
HiperDroguería Beraca;KR 119 C 63 A 96;4411282;2;Engativá
Hiperdroguería Beraca Plus;CL 63B 119A 09;4405402;2;Engativá
HiperDroguería Bulevar;CL 147 12 11;6250414;2;Usaquén
HiperDroguería Canaan;CL 33 SUR 50 A 03;5638217;2;Sur
HiperDroguería Centro Mayor;KR 121 66A 02;4411282;2;Engativá
HiperDroguería Comunal;CL 52B SUR 25 03;7586054;2;Tunjuelito
HiperDroguería De Calidad;KR 102A 129C 46 LC 7;5352450;2;Suba
HiperDroguería Dissan;KR 91 A 72 A 35;2762942;2;Engativá
HiperDroguería Drofarma Alcala;KR 52 A 28 48 SUR;7105503;2;Sur
HiperDroguería Ecofarma;CL 127B 89 75;6851281;2;Suba
HiperDroguería El Parque;KR 77 A 71 03;2514032;2;Engativá
HiperDroguería Familider;CL 130 90 33;6830940;2;Suba
HiperDroguería Familíder;KR 94 G 96 15;4424075;2;Engativá
HiperDroguería Famisalud;KR 12 BIS 26A 12 SUR;3009150;2;Rafael Uribe
HiperDroguería Farias;CL 15 SUR 16 12;5626392;2;Rafael Uribe
Hiperdroguería Farma Salud Plus;KR 6 Este 93 04 Sur;7614235;2;Usme
HiperDroguería Farmacos;CL 3 25A 02;5608271;2;Centro Oriente
Hiperdroguería Farmaline;CL 64 SUR 18L 22;7901637;2;Vista Hermosa
Hiperdroguería Farmaya;KR 109 A 64 D 03;4402399;2;Engativá
HiperDroguería Geral;CL 30D SUR 8 26;4091346;2;San Cristóbal
HiperDroguería Inversalud M & G;TV 70G 63 25 SUR;7820190;2;Vista Hermosa
HiperDroguería Ivy;CL 76A SUR 66 23;0;2;Vista Hermosa
HiperDroguería Karoll;KR 102A 129C 46;6828329;2;Suba
HiperDroguería La Cordillera;KR 51 D 31 05 SUR;4758542;2;Sur
HiperDroguería La Economiaures;KR 106 131 57;6909479;2;Suba
HiperDroguería La Gran Rebaja;CL 17F 121 05;6041696;2;Fontibón
Hiperdroguería La Mejorana.com;TV 76 82C 98;2519211;2;Engativá
HiperDroguería Lilly;KR 128 144 28 LC 29;6096295;2;Suba
HiperDroguería Modelo;CL 66 58 07 LC102;2197600;2;Chapinero
HiperDroguería Moderna;CL 17 SUR 11B 41;3727931;2;Rafael Uribe
HiperDroguería Nicole;KR 112 A 72 F 28;2286033;2;Engativá
HiperDroguería Nicole;AC 19 21 67 LC 03;3700598;2;Centro Oriente
HiperDroguería Nissi;DG 45B SUR 53C 23 LC 1;4598290;2;Tunjuelito
HiperDroguería Ramirez;CL 163 A 16 A 05;5263115;2;Usaquén
HiperDroguería Ramirez;KR 13 144 59;5264686;2;Usaquén
HiperDroguería Ramirez 154;AK 19 154 91;5277771;2;Usaquén
HiperDroguería San Antonio;CL 4 SUR 14B 28;2896108;2;Rafael Uribe
HiperDroguería San Jorge;CL 43 SUR 12G 38;2054918;2;Rafael Uribe
HiperDroguería San Miguel;KR 38 64 A 10;4801917;2;Chapinero
HiperDroguería Santa Barbara;CL 128A 121C 45;0;2;Suba
HiperDroguería Servisalud;CL 132D 154 21;6930137;2;Suba
HiperDroguería Su Salud;KR 1 2A 23;3331640;2;Centro Oriente
HiperDroguería Su Salud;AC 3 38 87;3754404;2;Sur
HiperDroguería Supercadena JR;CL 56 SUR 4C 06;5682776;2;Usme
HiperDroguería Unidej;TV 76 83 85;5352459;2;Engativá
HiperDroguería Unipharma Candelaria;KR 41A 62 04 SUR;7183663;2;Vista Hermosa
HiperDroguería Vargas;CL 22J 120A 27;4181555;2;Fontibón
HiperDroguería Villa Magdala;AK 19 155 97 LC 12;6274048;2;Usaquén
HiperDroguería Y Miscelanea Farmavida;KR 21 62 01 SUR;7151452;2;Vista Hermosa
HiperDroguerías Farma Salud AD;DG 48Y SUR 5T 04;2795904;2;Rafael Uribe
HiperDroguerías Hospitalarias BP Ltda;CL 60 13 24;2488412;2;Chapinero
HiperDroguerías Hospitalarias De La 56;AV CARACAS 56 10;2177495;2;Chapinero
Hiperfarmacia Profesional;TV 73C 70 12 SUR;7155768;2;Vista Hermosa
Hipernacional De Drogas;KR 52 20 03 SUR;5645573;2;Sur
Hiperpharma Express;KR 52 A 34 54 SUR LC 2;7102965;2;Sur
Hiperpharma Santa Ana;KR 60 4B 05;2407555;2;Sur
Hiperpharma Tunal;KR 25 52 29 SUR LC 1;7108299;2;Tunjuelito
Hipersubsidrogas;KR 110 G 72 D 22;4406053;2;Engativá
Hospitalaria 24 Horas;CL 18 15 81;0;2;Centro Oriente
Hospitalaria 24 Horas;KR 17 17 81 SUR;4771752;2;Rafael Uribe
Hospitalaria Ammy 2;DG 56 SUR 1 03 ESTE;7644610;2;Usme
Hospitalaria APE;AK 10 2 15 SUR;2336084;2;Rafael Uribe
Hospitalaria Cl 24 Santa Fe;TV 17 23A 24;5664913;2;Centro Oriente
Hr Puntocom;CL 64 SUR 71F 43;7809974;2;Vista Hermosa
Huertas Rodríguez Marco Eliseo;AC 72 68C 21;2400429;2;Engativá
Iberica 24 Horas;KR 28 64 03 SUR;7182947;1;Vista Hermosa
Ilusion Nuevo Milenio;CL 65 SUR 20 13;7177237;2;Vista Hermosa
Imperial De Drogas;KR 22 163 34;6722471;2;Usaquén
Inaldrogas JC;KR 22B 62A 09 SUR;4666673;2;Vista Hermosa
Incoldrogas G Y G;KR 22 6 40 SUR;5603697;2;Rafael Uribe
Incoldrogas G Y G;KR 24 6 45 SUR;5603697;2;Rafael Uribe
Insumequi Distribuciones;CL 66 10 58 LCB;5437670;2;Chapinero
Inter Especial De Drogas;TV 92BIS 129C 48;5368371;2;Suba
Intermundial De Drogas;KR 95G 87 25;4424971;2;Engativá
Internacional De Drogas;DG 70 A 04 66;2358741;2;Chapinero
Internacional De Drogas;KR 13 42 05;2458411;2;Chapinero
Internacional De Drogas SA;KR 13 61 18;2495688;2;Chapinero
Internacional De Drogas SA;CL 116 14 B 62 LC 105;6157481;2;Usaquén
Interrebajas Unidas;KR 72 62G 97 SUR;7754735;2;Vista Hermosa
Inverdrogas;KR 75 58A 21 SUR;7193711;2;Vista Hermosa
Inversiones Comunal De Colombia Ltda;KR 8 G 162 57;6795809;2;Usaquén
Inversiones Comunal De Colombia No 2 SAS;CL 163 A 8 G 33;6716205;2;Usaquén
Inversiones Comunal De Colombia SAS;CL 163 A 8 G 33;6716205;2;Usaquén
Inversiones Ecospos Ltda;CL 165 9 47;6716170;2;Usaquén
Inversiones Farmaceuticas Punto Farma;KR 16 51 09;3106221;2;Chapinero
Inversiones Farmaceuticas Punto Farma SAS;CL 150 19 A 06;6265311;2;Usaquén
Inversiones Farmacéuticas Punto Farma SAS;KR 70C 80 48 LC 17-18-19;6409500;2;Engativá
Inversiones Farmaceuticas Punto Farma Sas No 21;KR 17 A 119 A 90;2132232;2;Usaquén
Inversiones Farmaceuticas Puntofarma SAS;CL 140 11 01;2160096;2;Usaquén
Inversiones Farmaceuticas Puntofarma SAS;KR 7 52 23;6402023;2;Chapinero
Inversiones Farmaceuticas Puntofarma Sas Puntofarma No 4;KR 7 A 140 56 LC 101 Y 102;2592161;2;Usaquén
Inversiones Hurtado Trujillo;KR 10 26 71 P 1 IN 103 B 4;3346305;2;Centro Oriente
Inversiones Vision 2000 N & P SAS;AC 116 11 C 50;6296468;2;Usaquén
J Jiret Droguería Y Perfumería;CL 10 SUR 37 B 15;7276034;2;Sur
Jairo Antonio Arévalo;KR 111B 64C 30;6089863;2;Engativá
Jancar;TV 73I 57X 89 SUR;7533454;2;Vista Hermosa
Javidrogas;KR 19D 65 80 SUR;7157099;2;Vista Hermosa
Jerusalén 2001;CL 73 SUR 43 03;7186887;2;Vista Hermosa
Jesucristo Obrero;KR 21 26 44 SUR;3735634;2;Rafael Uribe
Jiosianny;KR 19 F 70L 03 SUR;7924995;2;Vista Hermosa
Jireth Pharma;CL 25B 72 BIS 80 LC 1;4104579;2;Fontibón
JJ A Su Salud;CL 106B SUR 2 65 ESTE;7621880;2;Usme
Jolie Piel;CL 150 16 56 LC 149;6140682;2;Usaquén
Jorge Enrique Contreras Valderrama;KR 104 137B 83;5379470;2;Suba
Jose A;AK 19 22C 94;2683139;2;Centro Oriente
José Orlando Barón Caro;CL 82 95D 72 IN 101;4910650;2;Engativá
Juan Camilo Corzo Ferro;KR 109A 65 24;2271252;2;Engativá
Juan Carlos Patiño Calambes;KR 92 84 60 PI 2;4365738;2;Engativá
Juan David # 1;CL 100C SUR 3C 03 ESTE;7628638;2;Usme
Karen;KR 47 70 20 SUR;7172910;2;Vista Hermosa
Koran Duo;KR 18K 73A 36 SUR;7903316;2;Vista Hermosa
La ?nica Del Tesoro;DG 77A SUR 18D 90;7656877;2;Vista Hermosa
La 117;CL 127C 91 10;6858996;2;Suba
La Botica ASR;KR 4B 52A 43 SUR;5681514;2;Rafael Uribe
La Botika ASR;KR 4 B 52A 43 Sur;5992047;2;Usme
La Confianza;CL 78D SUR 16 38;7923330;2;Vista Hermosa
La Economía Del Sur Drogas Sandra;KR 77C 57U 15 SUR;7194203;2;Vista Hermosa
La Economia Droguería 713 - Drogas La Economia 713;CL 151 18 A 31;6150955;2;Usaquén
La Esperanza;CL 76A SUR 73B 16;0;2;Vista Hermosa
La Esquina De La 27;KR 27 B 71N 12 SUR;7906830;2;Vista Hermosa
La Estancia;CL 60A SUR 74I 10;7829775;2;Vista Hermosa
La Fiscala;CL 65 SUR 1F 81 ESTE;2008616;2;Usme
La Glorieta AC;DG 62 SUR 68B 20;2388703;2;Vista Hermosa
La Gran Droguería;CL 69 A 90 A 78;2524159;2;Engativá
La Gran Economia Rhcom;CL 48J SUR 5F 35;7140777;2;Rafael Uribe
La Guajira PB;DG 73C SUR 73I 23;7186915;2;Vista Hermosa
La Rebaja;CL 72 10 03 LC102;2110803;2;Chapinero
La Rebaja;AK 15 100 20;2362617;2;Usaquén
La Rebaja;AV JIMENEZ 11 46;2831920;2;Centro Oriente
La Rebaja 132 Caobos;AK 19 143 A 38;6143666;2;Usaquén
La Rebaja 86;KR 100 24B 13;4157786;2;Fontibón
La Rebaja Calle 119;CL 119 12 39 LC 2;6010209;2;Usaquén
La Rebaja Droguería Niza 2;TV 60 119 87 LC 008;2534754;2;Suba
La Rebaja Droguerías;CL 60 9 09;2481240;2;Chapinero
La Rebaja No 104 Cedritos 2;AC 147 7 58 LC 26;6332873;2;Usaquén
La Rebaja No 110;AC 127 16 A 29;5207750;2;Usaquén
La Rebaja Plus Minimarket Y Droguería 14;KR 55 172 28;6746588;1;Suba
La Rebaja Usaquen 2;AK 7 116 90;2155144;2;Usaquén
La Y Del Norte;DG 57Z SUR 74 16;0;2;Vista Hermosa
La Y Del Norte;KR 101 73 03;6958579;2;Engativá
La Ye Del Sur;KR 46 69D 92 Sur;7172334;2;Vista Hermosa
Laboratorios Lucfi;KR 15 85 29 OF505;2572247;2;Chapinero
Laboratorios M Y N Cia Ltda;KR 67 67 A 62;2316069;2;Chapinero
Laboratorios Medidermik SAS;AK 15 103 70 LC 305 Y 306;6354610;2;Usaquén
Las Quintas Del Sur;CL 70C SUR 17A 49;7619013;2;Vista Hermosa
Las Ramblas;CL 161 16 B 48;4815965;2;Usaquén
Las Vegas 2001;TV 50 70 16 SUR;7183441;2;Vista Hermosa
Libanes;CL 73 SUR 1 09;2005397;2;Usme
Libano;DG 84B SUR 4 21 ESTE;7647465;2;Usme
Libia Helena Jimenez;KR 105D 64D 04;2270685;2;Engativá
Liga Colombiana Contra El Cancer;KR 12 A 77 34;7441780;2;Chapinero
Linea Amiga Farmaceutica Laf Bogota Sur;AC 6 34 27 P 2;7566666;2;Sur
Locatel Centro Internacional;KR 13 31 21;2452155;2;Centro Oriente
Locatel Colombia SA;KR 13 51 52;5082295;2;Chapinero
Locatel San Diego;KR 10 24 76 IN;6822114;2;Centro Oriente
Lorem`Ss;CL 74A SUR 17A 17;7912170;2;Vista Hermosa
Lorena De La 37;DG 52 SUR 54A 15;2384215;2;Tunjuelito
Lorena De La 37;TV 37 69I 80 SUR;7310097;2;Vista Hermosa
Los Angeles;KR 49 68A 04 SUR;7179830;2;Vista Hermosa
Los Angeles;KR 6 Este 94 87 Sur;7735158;2;Usme
Los Girasoles LG;KR 22G 60 48 SUR;4754111;2;Vista Hermosa
Los Heroes De San José;CL 22 SUR 12H 77;4079485;2;Rafael Uribe
Luicam 2;KR 21 62 99 SUR;7158564;2;Vista Hermosa
Luis Eduardo Cañón Villalobos;KR 89A 84A 41;7459310;2;Engativá
